author_qid,pubDate,goodreads_id,title,authorLabel,work_qid,year,n_nom,n_win,awards_as_of_year,age,birth_country,gender,topicality,max,count,median
Q1158494,2005-05-01T00:00:00Z,,Godplayers,Damien Broderick,Q131381617,2006,1,0,1,62.0,Australia,male,1.3307512751416404,,,
Q1159871,2011-06-02T00:00:00Z,13730452.0,Leviathan Wakes,Daniel Abraham,Q6535598,2012,2,0,13,43.0,United States,male,0.07654966426198462,,,
Q1159871,2012-06-07T00:00:00Z,17606541.0,Caliban's War,Daniel Abraham,Q5019811,2013,1,0,16,44.0,United States,male,0.14209555706963367,,,
Q1159871,2013-06-04T00:00:00Z,17606564.0,Abaddon's Gate,Daniel Abraham,Q17000766,2014,1,0,19,45.0,United States,male,-0.2980747325026906,,,
Q1159871,2014-06-05T00:00:00Z,26109318.0,Cibola Burn,Daniel Abraham,Q19610145,2015,1,0,21,46.0,United States,male,0.1648160822689522,,,
Q1159871,2015-06-02T00:00:00Z,42456264.0,Nemesis Games,Daniel Abraham,Q19894682,2016,1,0,23,47.0,United States,male,0.17738471038029782,,,
Q1159871,2016-12-06T00:00:00Z,45754030.0,Babylon's Ashes,Daniel Abraham,Q22074947,2017,1,0,25,48.0,United States,male,-0.22247139760038193,,,
Q1159871,2017-12-05T00:00:00Z,,Persepolis Rising,Daniel Abraham,Q48772056,2018,1,0,27,49.0,United States,male,0.09059857620577362,,,
Q1160619,1961-01-01T00:00:00Z,,Dark Universe,Daniel F. Galouye,Q3224655,1962,1,0,0,42.0,United States,male,0.3696886748783977,,,
Q1173398,1989-12-01T00:00:00Z,,On My Way to Paradise,Dave Wolverton,Q7091078,1990,1,0,0,33.0,United States,male,0.36057476254294935,,,
Q1174491,1970-01-01T00:00:00Z,,The Steel Crocodile,David G. Compton,Q122452514,1971,1,0,0,41.0,United Kingdom,male,-0.4842288326945607,,,
Q1174539,1972-07-01T00:00:00Z,,When HARLIE Was One,David Gerrold,Q4226027,1973,2,0,0,29.0,United States,male,0.6260426799776616,,,
Q1174539,1973-02-01T00:00:00Z,,The Man Who Folded Himself,David Gerrold,Q3203833,1974,2,0,5,30.0,United States,male,0.5579671342335284,,,
Q1174539,1977-02-01T00:00:00Z,,Moonstar Odyssey,David Gerrold,Q23307134,1978,2,0,8,34.0,United States,male,0.3120574151640794,,,
Q1174539,1983-08-01T00:00:00Z,,A Matter for Men,David Gerrold,Q131375501,1984,1,0,10,40.0,United States,male,0.7060836847604804,,,
Q1174539,1984-05-01T00:00:00Z,,A Day for Damnation,David Gerrold,Q131375939,1985,1,0,11,41.0,United States,male,0.6230454049434222,,,
Q1177322,1993-06-01T00:00:00Z,,The Broken God,David Zindell,Q4423916,1994,1,0,2,42.0,United States,male,-0.8304027772430366,,,
Q1181085,1981-06-01T00:00:00Z,,Systemic Shock,Dean Ing,Q18208339,1982,1,0,5,51.0,United States,male,-0.6206769944927487,,,
Q1193106,1966-08-01T00:00:00Z,,Too Many Magicians,Randall Garrett,Q3535592,1967,1,0,0,40.0,United States,male,-0.29850511685935105,,,
Q1193871,1989-11-01T00:00:00Z,,Orbital Decay,Allen Steele,Q123996677,1990,1,0,0,32.0,United States,male,-0.39223058040989783,,,
Q1193871,1990-12-01T00:00:00Z,,"Clarke County, Space",Allen Steele,Q131376452,1991,1,0,2,33.0,United States,male,0.4420493445543236,,,
Q1193871,1992-06-01T00:00:00Z,,Labyrinth of Night,Allen Steele,Q131376609,1993,1,0,5,35.0,United States,male,0.5812945615974208,,,
Q1193871,1994-11-01T00:00:00Z,,The Jericho Iteration,Allen Steele,Q131376698,1995,1,0,6,37.0,United States,male,0.7502967228779531,,,
Q1193871,1996-03-01T00:00:00Z,383885.0,The Tranquillity Alternative,Allen Steele,Q124022063,1997,1,0,11,39.0,United States,male,-0.7084456014032603,,,
Q1193871,2002-11-01T00:00:00Z,,Coyote,Allen Steele,Q5180039,2003,1,0,27,45.0,United States,male,-0.8830287748273562,,,
Q121899,2014-05-27T00:00:00Z,,Artemis Awakening,Jane Lindskold,Q131382290,2015,1,0,2,53.0,United States,female,0.16827432270802364,,,
