isbn,work_qid
9780684130835,Q2916242
0684130831,Q2916242
9780671228613,Q135165
9780812551617,Q5327095
0812551613,Q5327095
9780765310453,Q5330486
9780765307590,Q5330486
0765307596,Q5330486
9780765328021,Q24255737
9780765300966,Q5348867
0765300966,Q5348867
9780345524492,Q3052025
9780230750760,Q3052025
9780316363747,Q47005478
9780575074323,Q5373863
0575074329,Q5373863
9781447246282,Q46856743
9780312932084,Q816016
0312932081,Q816016
031286860X,Q2746500
9780312868604,Q2746500
0747205256,Q2656138
9780747205258,Q2656138
9781841492032,Q5377672
1841492035,Q5377672
9781781084632,Q41094135
1781084637,Q41094135
9781857234572,Q74362
9781857233940,Q74362
1857233948,Q74362
9780765317520,Q3016940
9780812555172,Q3016940
0765317524,Q3016940
0812555171,Q3016940
9780934438667,Q5422666
0934438668,Q5422666
0671653989,Q2703898
9780671653989,Q2703898
9780765352804,Q5436486
9780765314215,Q5436486
076535280X,Q5436486
0765314215,Q5436486
9781857232356,Q5441458
1857232356,Q5441458
9780575083042,Q2915854
9780553383058,Q2915854
9780671455774,Q2915854
0553383051,Q2915854
067145577X,Q2915854
9780553803129,Q5447634
0553803123,Q5447634
9780980226010,Q3745649
0980226015,Q3745649
9780446520720,Q5450418
0446520721,Q5450418
1937007804,Q15221218
9781937007805,Q15221218
9780575080560,Q5460012
0575080566,Q5460012
9780756402518,Q27763467
9780886776374,Q27763467
0756402514,Q27763467
0886776376,Q27763467
9781857989311,Q3210024
1857989317,Q3210024
0441004067,Q9183865
9780441004065,Q9183865
9780553803112,Q5472993
0553803115,Q5472993
9780932096265,Q3790023
0932096263,Q3790023
9780593159996,Q1050014
0593159993,Q1050014
9780593159989,Q932592
9780385177252,Q932592
0593159985,Q932592
0380973820,Q4198261
9780380973828,Q4198261
9781930846357,Q5505649
1930846355,Q5505649
9780553812176,Q441055
0765348780,Q441055
0765310015,Q441055
0553812173,Q441055
1250313198,Q79557367
9781250313188,Q79557367
9781250313195,Q79557367
0385485182,Q3929314
9780385485180,Q3929314
1841493929,Q2027568
0441014038,Q2027568
9781841493923,Q2027568
9780441014033,Q2027568
0553076450,Q3209843
9780553076455,Q3209843
