wikipedia_url,work_qid
https://en.wikipedia.org/wiki/Captain_Vorpatril%27s_Alliance,Q5036850
https://en.wikipedia.org/wiki/Mother_of_Storms,Q2241505
https://en.wikipedia.org/wiki/Beggars_and_Choosers_(novel),Q4880455
https://en.wikipedia.org/wiki/Infinity%27s_Shore,Q4863413
https://en.wikipedia.org/wiki/Buddy_Holly_Is_Alive_and_Well_on_Ganymede,Q4984887
https://en.wikipedia.org/wiki/Children_of_God_(novel),Q5098442
https://en.wikipedia.org/wiki/Assemblers_of_Infinity,Q4808643
https://en.wikipedia.org/wiki/And_Chaos_Died,Q4753290
https://en.wikipedia.org/wiki/Brasyl,Q4957980
https://en.wikipedia.org/wiki/Eternity_(novel),Q2252121
https://en.wikipedia.org/wiki/Black_Easter,Q4920715
https://en.wikipedia.org/wiki/Ark_(novel),Q4791614
https://en.wikipedia.org/wiki/Anvil_of_Stars,Q4777990
https://en.wikipedia.org/wiki/Chindi_(novel),Q5100334
https://en.wikipedia.org/wiki/Darwin%27s_Radio,Q2246747
https://en.wikipedia.org/wiki/Bone_Dance,Q4941511
https://en.wikipedia.org/wiki/Ancient_Shores,Q4752917
https://en.wikipedia.org/wiki/Century_Rain,Q5063196
https://en.wikipedia.org/wiki/China_Mountain_Zhang,Q5099787
https://en.wikipedia.org/wiki/Beyond_Apollo,Q4899922
https://en.wikipedia.org/wiki/Bloom_(novel),Q4928148
https://en.wikipedia.org/wiki/Camouflage_(novel),Q2240456
https://en.wikipedia.org/wiki/Caliban%27s_War,Q5019811
https://en.wikipedia.org/wiki/Briar_Rose_(novel),Q4965778
https://en.wikipedia.org/wiki/Beggars_Ride,Q4880453
https://en.wikipedia.org/wiki/Child_of_Fortune,Q5097878
https://en.wikipedia.org/wiki/The_Peace_War,Q4779520
https://en.wikipedia.org/wiki/Between_the_Strokes_of_Night,Q4899208
https://en.wikipedia.org/wiki/Candle_(novel),Q5031940
https://en.wikipedia.org/wiki/Air_(novel),Q4697707
https://en.wikipedia.org/wiki/Cauldron_(McDevitt_novel),Q5054488
https://en.wikipedia.org/wiki/Birthright:_The_Book_of_Man,Q4917091
https://en.wikipedia.org/wiki/Dream_Dancer,Q5306348
https://en.wikipedia.org/wiki/Demon_(novel),Q5256189
https://en.wikipedia.org/wiki/Farthing_(novel),Q5436486
https://en.wikipedia.org/wiki/Einstein%27s_Bridge_(novel),Q5349776
https://en.wikipedia.org/wiki/City_of_Pearl,Q5123861
https://en.wikipedia.org/wiki/Dover_Beach_(novel),Q5302472
https://en.wikipedia.org/wiki/Dayworld,Q5243636
https://en.wikipedia.org/wiki/City_at_the_End_of_Time,Q5123535
https://en.wikipedia.org/wiki/Dream_Park,Q5306426
https://en.wikipedia.org/wiki/Omega_(McDevitt_novel),Q5120959
https://en.wikipedia.org/wiki/Code_Blue_%E2%80%93_Emergency,Q5140010
https://en.wikipedia.org/wiki/Declare,Q5249488
https://en.wikipedia.org/wiki/Coalescent,Q5137866
https://en.wikipedia.org/wiki/Deadline_(Grant_novel),Q5245583
https://en.wikipedia.org/wiki/Engine_City_(novel),Q5377672
https://en.wikipedia.org/wiki/Eifelheim,Q5348867
https://en.wikipedia.org/wiki/Engine_Summer,Q5377731
https://en.wikipedia.org/wiki/Directive_51_(novel),Q5280467
https://en.wikipedia.org/wiki/Daybreak_Zero,Q5243102
https://en.wikipedia.org/wiki/Dark_Light_(novel),Q5223299
https://en.wikipedia.org/wiki/Emperor_(Baxter_novel),Q5373863
https://en.wikipedia.org/wiki/Eastern_Standard_Tribe,Q5330486
https://en.wikipedia.org/wiki/Destiny%27s_Road,Q5265228
