author_qid,pubDate,goodreads_id,title,authorLabel,work_qid,year,n_nom,n_win,awards_as_of_year,age,birth_country,gender
Q110436,2017-04-25T00:00:00Z,50573549.0,Walkaway,Cory Doctorow,Q30068660,2018,1,0,23,47.0,Canada,male
Q110436,2020-10-01T00:00:00Z,,Attack Surface,Cory Doctorow,Q97162038,2021,1,0,26,50.0,Canada,male
Q110436,2023-04-24T00:00:00Z,,Red Team Blues,Cory Doctorow,Q130036358,2024,1,0,27,53.0,Canada,male
Q113233,2003-09-01T00:00:00Z,2153746.0,The Time Traveler's Wife,Audrey Niffenegger,Q1212645,2005,1,0,1,42.0,United States,female
Q113554,1972-06-01T00:00:00Z,,Beyond Apollo,Barry N. Malzberg,Q4899922,1973,0,1,0,34.0,United States,male
Q113554,1975-01-01T00:00:00Z,,Guernica Night,Barry N. Malzberg,Q122452520,1975,1,0,2,36.0,United States,male
Q113554,1985-07-01T00:00:00Z,,The Remaking of Sigmund Freud,Barry N. Malzberg,Q27231256,1985,2,0,11,46.0,United States,male
Q113783656,2022-06-21T00:00:00Z,,The Ballad of Perilous Graves,Alex Jennings,Q131443983,2023,1,0,0,44.0,Germany,
Q114292132,2022-02-18T00:00:00Z,,Legends & Lattes,Travis Baldree,Q114291824,2022,2,0,0,,,male
Q1158494,2005-05-01T00:00:00Z,,Godplayers,Damien Broderick,Q131381617,2006,1,0,1,62.0,Australia,male
Q1159871,2011-06-02T00:00:00Z,13730452.0,Leviathan Wakes,Daniel Abraham,Q6535598,2012,2,0,13,43.0,United States,male
Q1159871,2012-06-07T00:00:00Z,17606541.0,Caliban's War,Daniel Abraham,Q5019811,2013,1,0,16,44.0,United States,male
Q1159871,2013-06-04T00:00:00Z,17606564.0,Abaddon's Gate,Daniel Abraham,Q17000766,2014,1,1,19,45.0,United States,male
Q1159871,2014-06-05T00:00:00Z,26109318.0,Cibola Burn,Daniel Abraham,Q19610145,2015,1,0,21,46.0,United States,male
Q1159871,2015-06-02T00:00:00Z,42456264.0,Nemesis Games,Daniel Abraham,Q19894682,2016,1,0,23,47.0,United States,male
Q1159871,2016-12-06T00:00:00Z,45754030.0,Babylon's Ashes,Daniel Abraham,Q22074947,2017,1,0,25,48.0,United States,male
Q1159871,2017-12-05T00:00:00Z,,Persepolis Rising,Daniel Abraham,Q48772056,2018,1,0,27,49.0,United States,male
Q1159871,2021-11-30T00:00:00Z,48382891.0,Leviathan Falls,Daniel Abraham,Q107316509,2022,1,1,29,53.0,United States,male
Q1160619,1961-01-01T00:00:00Z,,Dark Universe,Daniel F. Galouye,Q3224655,1962,1,0,0,42.0,United States,male
Q1173398,1989-12-01T00:00:00Z,,On My Way to Paradise,Dave Wolverton,Q7091078,1990,1,0,0,33.0,United States,male
Q1174491,1970-01-01T00:00:00Z,,The Steel Crocodile,David G. Compton,Q122452514,1970,1,0,0,40.0,United Kingdom,male
Q1174539,1972-07-01T00:00:00Z,,When HARLIE Was One,David Gerrold,Q4226027,1972,2,0,0,28.0,United States,male
Q1174539,1973-02-01T00:00:00Z,,The Man Who Folded Himself,David Gerrold,Q3203833,1973,2,0,1,29.0,United States,male
Q1174539,1977-02-01T00:00:00Z,,Moonstar Odyssey,David Gerrold,Q23307134,1977,2,0,7,33.0,United States,male
Q1174539,1983-08-01T00:00:00Z,,A Matter for Men,David Gerrold,Q131375501,1984,1,0,9,40.0,United States,male
Q1174539,1984-05-01T00:00:00Z,,A Day for Damnation,David Gerrold,Q131375939,1985,1,0,10,41.0,United States,male
Q1177322,1993-06-01T00:00:00Z,,The Broken God,David Zindell,Q4423916,1994,1,0,2,42.0,United States,male
Q1181085,1981-06-01T00:00:00Z,,Systemic Shock,Dean Ing,Q18208339,1982,1,0,5,51.0,United States,male
Q118903125,2023-02-02T00:00:00Z,,In Ascension,Martin MacInnes,Q123358191,2024,1,0,0,41.0,United Kingdom,male
Q1193106,1966-08-01T00:00:00Z,,Too Many Magicians,Randall Garrett,Q3535592,1967,1,0,0,40.0,United States,male
Q1193871,1989-11-01T00:00:00Z,,Orbital Decay,Allen Steele,Q123996677,1990,1,0,0,32.0,United States,male
Q1193871,1990-12-01T00:00:00Z,,"Clarke County, Space",Allen Steele,Q131376452,1991,1,0,2,33.0,United States,male
Q1193871,1992-06-01T00:00:00Z,,Labyrinth of Night,Allen Steele,Q131376609,1993,1,0,5,35.0,United States,male
Q1193871,1994-11-01T00:00:00Z,,The Jericho Iteration,Allen Steele,Q131376698,1995,1,0,6,37.0,United States,male
